  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     7.500 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
 -13.750  -1.0643   0.01202   0.00588  -0.1029   0.9613   0.0089   4.5014  90.8638
 -13.500  -1.0388   0.01171   0.00563  -0.1026   0.9556   0.0090   4.9082  90.9023
 -13.250  -1.0123   0.01141   0.00540  -0.1025   0.9520   0.0091   5.1561  90.9345
 -13.000  -0.9858   0.01113   0.00518  -0.1023   0.9473   0.0091   5.4720  90.9598
 -12.750  -0.9595   0.01087   0.00497  -0.1021   0.9409   0.0091   5.9027  90.9788
 -12.500  -0.9325   0.01061   0.00476  -0.1021   0.9367   0.0092   6.1769  90.9930
 -12.250  -0.9058   0.01032   0.00453  -0.1020   0.9310   0.0093   6.5474  91.0574
 -12.000  -0.8794   0.01000   0.00425  -0.1018   0.9233   0.0098   7.0422  91.2377
 -11.750  -0.8526   0.00970   0.00401  -0.1017   0.9161   0.0102   7.4992  91.4167
 -11.500  -0.8258   0.00945   0.00378  -0.1015   0.9060   0.0105   8.1389  91.5588
 -11.250  -0.7988   0.00922   0.00359  -0.1014   0.8950   0.0108   8.8363  91.6732
 -11.000  -0.7713   0.00900   0.00341  -0.1014   0.8867   0.0110   9.3551  91.7731
 -10.750  -0.7437   0.00881   0.00324  -0.1013   0.8783   0.0112   9.8814  91.8562
 -10.500  -0.7158   0.00862   0.00309  -0.1014   0.8730   0.0114  10.2124  91.9183
 -10.250  -0.6878   0.00845   0.00294  -0.1014   0.8661   0.0115  10.6409  91.9622
 -10.000  -0.6598   0.00829   0.00281  -0.1014   0.8590   0.0116  11.0881  91.9905
  -9.750  -0.6319   0.00809   0.00264  -0.1014   0.8524   0.0120  11.4979  92.1464
  -9.500  -0.6041   0.00788   0.00246  -0.1014   0.8436   0.0128  12.0457  92.4353
  -9.250  -0.5760   0.00769   0.00231  -0.1015   0.8362   0.0133  12.5064  92.6316
  -9.000  -0.5479   0.00754   0.00218  -0.1015   0.8268   0.0137  13.0885  92.7797
  -8.750  -0.5196   0.00740   0.00206  -0.1015   0.8185   0.0140  13.6045  92.8915
  -8.500  -0.4912   0.00728   0.00196  -0.1016   0.8101   0.0142  14.1312  92.9616
  -8.250  -0.4627   0.00717   0.00186  -0.1017   0.8011   0.0143  14.6845  92.9999
  -8.000  -0.4344   0.00701   0.00172  -0.1017   0.7920   0.0153  15.2487  93.3387
  -7.750  -0.4062   0.00688   0.00160  -0.1018   0.7805   0.0162  15.9633  93.6125
  -7.500  -0.3777   0.00676   0.00150  -0.1018   0.7716   0.0168  16.5175  93.8124
  -7.250  -0.3491   0.00667   0.00142  -0.1019   0.7612   0.0172  17.1567  93.9416
  -7.000  -0.3206   0.00659   0.00134  -0.1020   0.7500   0.0175  17.8519  94.0591
  -6.750  -0.2921   0.00646   0.00123  -0.1021   0.7399   0.0191  18.4760  94.5086
  -6.500  -0.2635   0.00637   0.00115  -0.1022   0.7284   0.0200  19.1902  94.7863
  -6.000  -0.2062   0.00623   0.00101  -0.1023   0.7052   0.0215  20.6215  95.1985
  -5.750  -0.1777   0.00614   0.00093  -0.1024   0.6935   0.0232  21.3414  95.6430
  -5.500  -0.1490   0.00609   0.00087  -0.1025   0.6807   0.0243  22.1337  95.9144
  -5.250  -0.1204   0.00604   0.00082  -0.1026   0.6675   0.0256  22.9478  96.2285
  -5.000  -0.0918   0.00596   0.00075  -0.1027   0.6561   0.0279  23.6482  96.7433
  -4.750  -0.0630   0.00592   0.00071  -0.1028   0.6438   0.0289  24.4071  96.9830
  -4.500  -0.0344   0.00587   0.00065  -0.1029   0.6310   0.0316  25.1979  97.5272
  -4.250  -0.0058   0.00584   0.00061  -0.1030   0.6175   0.0336  26.0332  97.9207
  -4.000   0.0229   0.00580   0.00057  -0.1031   0.6050   0.0367  26.8010  98.4727
  -3.750   0.0517   0.00576   0.00053  -0.1032   0.5934   0.0394  27.5181  98.9338
  -3.500   0.0804   0.00573   0.00049  -0.1033   0.5813   0.0430  28.2602  99.4894
  -3.250   0.1090   0.00571   0.00046  -0.1034   0.5681   0.0461  29.0742  99.9597
  -3.000   0.1377   0.00568   0.00043  -0.1035   0.5564   0.0517  29.8016 100.6868
  -2.750   0.1665   0.00566   0.00041  -0.1036   0.5461   0.0551  30.4367 101.1064
  -2.500   0.1952   0.00563   0.00038  -0.1037   0.5345   0.0618  31.1516 101.8604
  -2.250   0.2238   0.00562   0.00036  -0.1039   0.5233   0.0686  31.8447 102.5411
  -2.000   0.2527   0.00560   0.00035  -0.1040   0.5145   0.0734  32.3863 103.0068
  -1.750   0.2813   0.00558   0.00033  -0.1041   0.5037   0.0836  33.0532 103.8902
  -1.500   0.3102   0.00556   0.00032  -0.1043   0.4959   0.0924  33.5337 104.5876
  -1.250   0.3389   0.00555   0.00031  -0.1044   0.4868   0.1021  34.1016 105.3139
  -1.000   0.3678   0.00553   0.00030  -0.1045   0.4796   0.1113  34.5439 105.9821
  -0.750   0.3965   0.00551   0.00030  -0.1047   0.4711   0.1251  35.0714 106.9223
  -0.500   0.4254   0.00549   0.00029  -0.1048   0.4653   0.1386  35.4291 107.8107
  -0.250   0.4540   0.00549   0.00030  -0.1050   0.4563   0.1528  35.9907 108.7196
   0.000   0.4830   0.00546   0.00029  -0.1052   0.4524   0.1684  36.2351 109.6994
   0.250   0.5117   0.00546   0.00030  -0.1053   0.4458   0.1840  36.6452 110.6562
   0.500   0.5405   0.00545   0.00031  -0.1055   0.4392   0.2018  37.0516 111.7388
   0.750   0.5694   0.00543   0.00031  -0.1056   0.4350   0.2203  37.3154 112.8489
   1.000   0.5980   0.00544   0.00033  -0.1058   0.4284   0.2385  37.7293 113.9322
   1.250   0.6267   0.00543   0.00034  -0.1060   0.4229   0.2613  38.0741 115.2790
   1.500   0.6555   0.00541   0.00035  -0.1061   0.4183   0.2857  38.3614 116.7097
   1.750   0.6839   0.00543   0.00037  -0.1062   0.4105   0.3094  38.8479 118.1028
   2.000   0.7127   0.00541   0.00039  -0.1064   0.4058   0.3413  39.1480 119.9869
   2.250   0.7410   0.00541   0.00041  -0.1065   0.3978   0.3778  39.6515 122.1488
   2.500   0.7691   0.00534   0.00044  -0.1067   0.3896   0.4479  40.1786 126.2823
   2.750   0.7968   0.00531   0.00049  -0.1067   0.3772   0.5218  40.9686 130.5989
   3.000   0.8247   0.00530   0.00053  -0.1068   0.3668   0.5824  41.6426 134.1464
   3.250   0.8522   0.00532   0.00059  -0.1068   0.3532   0.6423  42.5229 137.6644
   3.500   0.8793   0.00536   0.00065  -0.1067   0.3372   0.6998  43.5600 141.0442
   3.750   0.9060   0.00541   0.00073  -0.1066   0.3197   0.7659  44.7027 144.9362
   4.000   0.9321   0.00544   0.00082  -0.1063   0.3008   0.8473  45.9437 149.7303
   4.250   0.9561   0.00543   0.00092  -0.1055   0.2837   0.9384  47.0654 155.1622
   4.500   0.9827   0.00556   0.00100  -0.1052   0.2655   0.9938  48.2753 159.2552
   4.750   1.0108   0.00582   0.00110  -0.1054   0.2435   1.0000  49.7407 160.0000
   5.000   1.0369   0.00606   0.00119  -0.1052   0.2231   1.0000  51.1153 160.0000
   5.250   1.0626   0.00634   0.00130  -0.1048   0.2013   1.0000  52.5952 160.0000
   5.500   1.0881   0.00662   0.00141  -0.1045   0.1793   1.0000  54.1195 160.0000
   5.750   1.1133   0.00693   0.00154  -0.1041   0.1584   1.0000  55.5871 160.0000
   6.000   1.1384   0.00724   0.00167  -0.1036   0.1367   1.0000  57.1503 160.0000
   6.250   1.1635   0.00755   0.00180  -0.1032   0.1188   1.0000  58.4808 160.0000
   6.500   1.1881   0.00788   0.00195  -0.1027   0.0991   1.0000  60.0159 160.0000
   6.750   1.2133   0.00816   0.00207  -0.1023   0.0861   1.0000  61.0978 160.0000
   7.000   1.2383   0.00845   0.00219  -0.1019   0.0741   1.0000  62.1677 160.0000
   7.250   1.2632   0.00874   0.00232  -0.1014   0.0633   1.0000  63.2190 160.0000
   7.500   1.2881   0.00901   0.00244  -0.1010   0.0551   1.0000  64.1073 160.0000
   7.750   1.3128   0.00930   0.00257  -0.1006   0.0475   1.0000  65.0177 160.0000
   8.000   1.3374   0.00958   0.00269  -0.1001   0.0417   1.0000  65.8184 160.0000
   8.250   1.3624   0.00981   0.00280  -0.0997   0.0379   1.0000  66.3883 160.0000
   8.500   1.3869   0.01007   0.00291  -0.0992   0.0337   1.0000  67.0690 160.0000
   8.750   1.4112   0.01034   0.00303  -0.0987   0.0306   1.0000  67.6353 160.0000
   9.000   1.4355   0.01059   0.00314  -0.0982   0.0277   1.0000  68.1987 160.0000
   9.250   1.4591   0.01089   0.00327  -0.0976   0.0249   1.0000  68.7975 160.0000
   9.500   1.4832   0.01113   0.00338  -0.0970   0.0233   1.0000  69.1663 160.0000
   9.750   1.5064   0.01142   0.00351  -0.0963   0.0215   1.0000  69.6106 160.0000
  10.000   1.5295   0.01169   0.00362  -0.0957   0.0198   1.0000  70.0517 160.0000
  10.250   1.5524   0.01197   0.00374  -0.0950   0.0187   1.0000  70.3641 160.0000
  10.500   1.5742   0.01230   0.00388  -0.0941   0.0169   1.0000  70.8911 160.0000
  10.750   1.5966   0.01258   0.00400  -0.0933   0.0162   1.0000  71.1076 160.0000
  11.000   1.6180   0.01288   0.00412  -0.0923   0.0154   1.0000  71.3639 160.0000
  11.250   1.6380   0.01323   0.00426  -0.0911   0.0143   1.0000  71.7270 160.0000
  11.500   1.6565   0.01355   0.00438  -0.0896   0.0135   1.0000  72.0225 160.0000
  11.750   1.6744   0.01386   0.00450  -0.0880   0.0131   1.0000  72.1419 160.0000
  12.000   1.6917   0.01422   0.00463  -0.0863   0.0126   1.0000  72.3401 160.0000
  12.250   1.7078   0.01465   0.00480  -0.0845   0.0119   1.0000  72.6147 160.0000
  12.500   1.7239   0.01510   0.00498  -0.0827   0.0109   1.0000  72.9823 160.0000
  12.750   1.7407   0.01550   0.00514  -0.0811   0.0108   1.0000  73.0615 160.0000
  13.000   1.7572   0.01595   0.00532  -0.0796   0.0105   1.0000  73.1742 160.0000
  13.250   1.7726   0.01645   0.00552  -0.0779   0.0101   1.0000  73.3309 160.0000
  13.500   1.7871   0.01702   0.00576  -0.0761   0.0097   1.0000  73.5213 160.0000
  13.750   1.8011   0.01764   0.00603  -0.0743   0.0091   1.0000  73.7721 160.0000
  14.000   1.8143   0.01831   0.00632  -0.0725   0.0086   1.0000  74.0017 160.0000
  14.250   1.8289   0.01893   0.00659  -0.0710   0.0086   1.0000  74.0374 160.0000
  14.500   1.8429   0.01960   0.00688  -0.0694   0.0084   1.0000  74.0962 160.0000
  14.750   1.8556   0.02035   0.00722  -0.0678   0.0083   1.0000  74.1811 160.0000
  15.000   1.8680   0.02117   0.00760  -0.0662   0.0081   1.0000  74.2903 160.0000
  15.250   1.8794   0.02208   0.00803  -0.0646   0.0078   1.0000  74.4163 160.0000
  15.500   1.8892   0.02310   0.00854  -0.0629   0.0075   1.0000  74.5632 160.0000
  15.750   1.8983   0.02422   0.00910  -0.0612   0.0071   1.0000  74.7571 160.0000
  16.000   1.9068   0.02544   0.00973  -0.0596   0.0068   1.0000  74.9519 160.0000
  16.250   1.9160   0.02661   0.01032  -0.0582   0.0067   1.0000  75.0147 160.0000
  16.500   1.9254   0.02782   0.01094  -0.0568   0.0066   1.0000  75.0430 160.0000
  16.750   1.9340   0.02913   0.01163  -0.0556   0.0065   1.0000  75.0798 160.0000
  17.000   1.9415   0.03057   0.01240  -0.0543   0.0065   1.0000  75.1273 160.0000
  17.250   1.9478   0.03214   0.01325  -0.0531   0.0064   1.0000  75.1849 160.0000
  17.500   1.9534   0.03384   0.01420  -0.0519   0.0062   1.0000  75.2519 160.0000
  17.750   1.9582   0.03568   0.01524  -0.0509   0.0061   1.0000  75.3262 160.0000
  18.000   1.9619   0.03767   0.01640  -0.0499   0.0060   1.0000  75.4060 160.0000
  18.250   1.9643   0.03983   0.01767  -0.0490   0.0058   1.0000  75.4916 160.0000
  18.500   1.9658   0.04216   0.01906  -0.0482   0.0057   1.0000  75.5888 160.0000
  18.750   1.9664   0.04465   0.02058  -0.0475   0.0055   1.0000  75.7007 160.0000
  19.000   1.9660   0.04730   0.02222  -0.0469   0.0053   1.0000  75.8135 160.0000
  19.250   1.9643   0.05012   0.02399  -0.0464   0.0051   1.0000  75.9161 160.0000
  19.500   1.9618   0.05312   0.02590  -0.0460   0.0050   1.0000  76.0006 160.0000
  19.750   1.9609   0.05601   0.02773  -0.0458   0.0050   1.0000  76.0092 160.0000
  20.000   1.9590   0.05904   0.02969  -0.0457   0.0050   1.0000  76.0197 160.0000
