  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  -0.500   0.4241   0.00575   0.00030  -0.1045   0.4924   0.1588  33.7504 109.1014
  -0.250   0.4528   0.00573   0.00030  -0.1047   0.4848   0.1757  34.2222 110.1518
   0.000   0.4813   0.00572   0.00030  -0.1048   0.4768   0.1936  34.7196 111.2420
   0.250   0.5100   0.00570   0.00031  -0.1049   0.4698   0.2145  35.1557 112.5027
   0.500   0.5386   0.00569   0.00032  -0.1051   0.4632   0.2352  35.5611 113.7382
   0.750   0.5671   0.00570   0.00033  -0.1052   0.4555   0.2558  36.0420 114.9563
   1.000   0.5958   0.00566   0.00034  -0.1053   0.4507   0.2829  36.3391 116.5478
   1.250   0.6242   0.00567   0.00036  -0.1054   0.4435   0.3087  36.7850 118.0631
   1.500   0.6529   0.00564   0.00038  -0.1056   0.4381   0.3411  37.1217 119.9738
   1.750   0.6813   0.00559   0.00040  -0.1058   0.4328   0.3859  37.4529 122.6291
   2.000   0.7093   0.00551   0.00043  -0.1059   0.4250   0.4642  37.9387 127.2349
   2.250   0.7376   0.00538   0.00046  -0.1060   0.4208   0.5501  38.2030 132.2520
   2.500   0.7656   0.00531   0.00050  -0.1061   0.4141   0.6200  38.6237 136.3508
   2.750   0.7935   0.00525   0.00054  -0.1062   0.4068   0.6883  39.0839 140.3677
   3.000   0.8212   0.00517   0.00058  -0.1062   0.3992   0.7647  39.5672 144.8694
   3.250   0.8481   0.00510   0.00064  -0.1060   0.3893   0.8467  40.1924 149.6978
   3.500   0.8717   0.00503   0.00071  -0.1050   0.3765   0.9394  41.0178 155.2226
   3.750   0.9012   0.00511   0.00075  -0.1054   0.3619   0.9940  41.9597 159.2896
   4.000   0.9308   0.00527   0.00080  -0.1058   0.3457   1.0000  43.0090 160.0000
   4.250   0.9576   0.00545   0.00086  -0.1056   0.3296   1.0000  44.0554 160.0000
   4.500   0.9842   0.00564   0.00092  -0.1054   0.3128   1.0000  45.1557 160.0000
   4.750   1.0106   0.00585   0.00099  -0.1052   0.2947   1.0000  46.3447 160.0000
   5.000   1.0365   0.00611   0.00108  -0.1049   0.2744   1.0000  47.6848 160.0000
   5.250   1.0622   0.00637   0.00118  -0.1046   0.2533   1.0000  49.0826 160.0000
   5.500   1.0876   0.00665   0.00129  -0.1042   0.2315   1.0000  50.5452 160.0000
   5.750   1.1126   0.00697   0.00141  -0.1037   0.2081   1.0000  52.1296 160.0000
   6.000   1.1371   0.00732   0.00155  -0.1032   0.1844   1.0000  53.7649 160.0000
   6.250   1.1616   0.00766   0.00170  -0.1027   0.1610   1.0000  55.4021 160.0000
   6.500   1.1857   0.00804   0.00186  -0.1021   0.1381   1.0000  57.0466 160.0000
   6.750   1.2097   0.00841   0.00202  -0.1015   0.1177   1.0000  58.5663 160.0000
   7.000   1.2336   0.00878   0.00218  -0.1009   0.0989   1.0000  60.0352 160.0000
   7.250   1.2578   0.00910   0.00232  -0.1004   0.0852   1.0000  61.1724 160.0000
   7.500   1.2817   0.00945   0.00248  -0.0998   0.0722   1.0000  62.3499 160.0000
   7.750   1.3059   0.00976   0.00262  -0.0992   0.0624   1.0000  63.3149 160.0000
   8.000   1.3299   0.01007   0.00275  -0.0986   0.0543   1.0000  64.1960 160.0000
   8.250   1.3536   0.01039   0.00290  -0.0980   0.0469   1.0000  65.0998 160.0000
   8.500   1.3771   0.01071   0.00304  -0.0974   0.0409   1.0000  65.9262 160.0000
   8.750   1.4012   0.01098   0.00316  -0.0968   0.0375   1.0000  66.4551 160.0000
   9.000   1.4246   0.01128   0.00330  -0.0962   0.0335   1.0000  67.1005 160.0000
   9.250   1.4475   0.01160   0.00344  -0.0954   0.0303   1.0000  67.6992 160.0000
   9.500   1.4707   0.01189   0.00356  -0.0948   0.0276   1.0000  68.2173 160.0000
   9.750   1.4929   0.01221   0.00371  -0.0939   0.0252   1.0000  68.7507 160.0000
  10.000   1.5155   0.01251   0.00383  -0.0931   0.0234   1.0000  69.1439 160.0000
  10.250   1.5372   0.01283   0.00397  -0.0922   0.0218   1.0000  69.5365 160.0000
  10.500   1.5582   0.01318   0.00412  -0.0912   0.0199   1.0000  70.0216 160.0000
  10.750   1.5790   0.01348   0.00425  -0.0901   0.0190   1.0000  70.2759 160.0000
  11.000   1.5970   0.01385   0.00439  -0.0885   0.0177   1.0000  70.6673 160.0000
  11.250   1.6143   0.01422   0.00454  -0.0868   0.0164   1.0000  71.0276 160.0000
  11.500   1.6323   0.01457   0.00468  -0.0853   0.0159   1.0000  71.1952 160.0000
  11.750   1.6492   0.01498   0.00484  -0.0836   0.0152   1.0000  71.4471 160.0000
  12.000   1.6652   0.01544   0.00504  -0.0818   0.0142   1.0000  71.7803 160.0000
  12.250   1.6814   0.01591   0.00523  -0.0801   0.0134   1.0000  72.0286 160.0000
  12.500   1.6982   0.01635   0.00542  -0.0786   0.0131   1.0000  72.1458 160.0000
  12.750   1.7139   0.01686   0.00563  -0.0769   0.0126   1.0000  72.3259 160.0000
  13.000   1.7284   0.01745   0.00590  -0.0752   0.0120   1.0000  72.5584 160.0000
  13.250   1.7420   0.01811   0.00620  -0.0734   0.0112   1.0000  72.8771 160.0000
  13.500   1.7561   0.01875   0.00648  -0.0717   0.0108   1.0000  73.0317 160.0000
  13.750   1.7707   0.01939   0.00678  -0.0702   0.0106   1.0000  73.1117 160.0000
  14.000   1.7845   0.02009   0.00710  -0.0686   0.0104   1.0000  73.2284 160.0000
  14.250   1.7969   0.02088   0.00748  -0.0669   0.0100   1.0000  73.3705 160.0000
  14.500   1.8085   0.02177   0.00792  -0.0653   0.0097   1.0000  73.5319 160.0000
  14.750   1.8190   0.02276   0.00842  -0.0636   0.0092   1.0000  73.7326 160.0000
  15.000   1.8284   0.02385   0.00898  -0.0618   0.0087   1.0000  73.9497 160.0000
  15.250   1.8392   0.02489   0.00952  -0.0604   0.0086   1.0000  74.0235 160.0000
  15.500   1.8497   0.02598   0.01008  -0.0590   0.0085   1.0000  74.0686 160.0000
  15.750   1.8593   0.02715   0.01071  -0.0576   0.0084   1.0000  74.1301 160.0000
  16.000   1.8681   0.02843   0.01140  -0.0562   0.0082   1.0000  74.2091 160.0000
  16.000   1.8681   0.02843   0.01140  -0.0562   0.0082   1.0000  74.2091 160.0000
  16.250   1.8760   0.02983   0.01216  -0.0549   0.0080   1.0000  74.2999 160.0000
  16.500   1.8827   0.03136   0.01302  -0.0537   0.0078   1.0000  74.4005 160.0000
  16.750   1.8881   0.03305   0.01399  -0.0524   0.0076   1.0000  74.5122 160.0000
  17.000   1.8924   0.03491   0.01508  -0.0512   0.0074   1.0000  74.6459 160.0000
  17.250   1.8955   0.03695   0.01630  -0.0502   0.0071   1.0000  74.8019 160.0000
  17.500   1.8972   0.03919   0.01767  -0.0492   0.0068   1.0000  74.9511 160.0000
  17.750   1.9002   0.04136   0.01900  -0.0484   0.0067   1.0000  75.0112 160.0000
  18.000   1.9037   0.04355   0.02034  -0.0477   0.0066   1.0000  75.0327 160.0000
  18.250   1.9063   0.04588   0.02179  -0.0471   0.0066   1.0000  75.0600 160.0000
  18.500   1.9079   0.04837   0.02336  -0.0467   0.0065   1.0000  75.0931 160.0000
  18.750   1.9084   0.05101   0.02505  -0.0463   0.0064   1.0000  75.1311 160.0000
  19.000   1.9079   0.05383   0.02687  -0.0460   0.0064   1.0000  75.1742 160.0000
