  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.500 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  -6.250  -0.2306   0.00707   0.00130  -0.1029   0.7937   0.0242  15.1455  95.9038
  -6.000  -0.2022   0.00697   0.00121  -0.1029   0.7835   0.0253  15.7755  96.1576
  -5.750  -0.1739   0.00684   0.00111  -0.1030   0.7736   0.0274  16.3893  96.6342
  -5.500  -0.1455   0.00677   0.00103  -0.1030   0.7622   0.0287  17.0958  96.9288
  -5.250  -0.1171   0.00667   0.00095  -0.1030   0.7507   0.0306  17.8059  97.3245
  -5.000  -0.0886   0.00658   0.00087  -0.1031   0.7400   0.0329  18.4702  97.7726
  -4.750  -0.0602   0.00653   0.00081  -0.1031   0.7283   0.0344  19.1964  98.0619
  -4.500  -0.0319   0.00645   0.00074  -0.1032   0.7153   0.0380  19.9976  98.7047
  -4.250  -0.0033   0.00639   0.00069  -0.1032   0.7034   0.0401  20.7293  99.0576
  -4.000   0.0251   0.00632   0.00063  -0.1033   0.6915   0.0445  21.4647  99.7157
  -3.750   0.0536   0.00628   0.00058  -0.1034   0.6788   0.0477  22.2515 100.1624
  -3.500   0.0819   0.00623   0.00053  -0.1034   0.6654   0.0530  23.0776 100.8555
  -3.250   0.1103   0.00619   0.00049  -0.1034   0.6523   0.0582  23.8840 101.4613
  -3.000   0.1389   0.00616   0.00046  -0.1035   0.6397   0.0629  24.6602 101.9830
  -2.750   0.1673   0.00611   0.00042  -0.1036   0.6269   0.0712  25.4522 102.7972
  -2.500   0.1957   0.00609   0.00039  -0.1036   0.6141   0.0787  26.2426 103.4602
  -2.250   0.2240   0.00608   0.00037  -0.1037   0.6007   0.0862  27.0677 104.1034
  -2.000   0.2524   0.00605   0.00035  -0.1038   0.5878   0.0967  27.8634 104.9189
  -1.750   0.2809   0.00602   0.00033  -0.1039   0.5762   0.1086  28.5777 105.7838
  -1.500   0.3093   0.00601   0.00032  -0.1039   0.5643   0.1209  29.3125 106.6369
  -1.250   0.3376   0.00600   0.00031  -0.1040   0.5521   0.1346  30.0669 107.5495
  -1.000   0.3661   0.00599   0.00031  -0.1041   0.5412   0.1489  30.7385 108.4722
  -0.750   0.3946   0.00597   0.00031  -0.1042   0.5310   0.1659  31.3696 109.5398
  -0.500   0.4229   0.00597   0.00031  -0.1042   0.5201   0.1832  32.0420 110.6072
  -0.250   0.4514   0.00595   0.00031  -0.1044   0.5112   0.2022  32.5929 111.7621
   0.000   0.4798   0.00595   0.00032  -0.1044   0.5021   0.2222  33.1523 112.9622
   0.250   0.5082   0.00594   0.00033  -0.1045   0.4935   0.2451  33.6852 114.3257
   0.500   0.5367   0.00593   0.00034  -0.1047   0.4857   0.2703  34.1694 115.8062
   0.750   0.5651   0.00591   0.00036  -0.1048   0.4780   0.2988  34.6425 117.4819
   1.000   0.5935   0.00590   0.00037  -0.1049   0.4706   0.3297  35.1027 119.3022
   1.250   0.6219   0.00585   0.00039  -0.1050   0.4643   0.3709  35.4946 121.7398
   1.500   0.6497   0.00576   0.00042  -0.1051   0.4562   0.4463  35.9992 126.1854
   1.750   0.6778   0.00559   0.00045  -0.1052   0.4515   0.5425  36.2883 131.8085
   2.000   0.7056   0.00549   0.00049  -0.1053   0.4448   0.6262  36.7046 136.7151
   2.250   0.7334   0.00539   0.00054  -0.1053   0.4385   0.7039  37.0954 141.2881
   2.500   0.7609   0.00526   0.00058  -0.1053   0.4331   0.7902  37.4374 146.3683
   2.750   0.7864   0.00513   0.00064  -0.1047   0.4254   0.8892  37.9172 152.2040
   3.000   0.8099   0.00503   0.00068  -0.1035   0.4204   0.9727  38.2271 157.4476
   3.250   0.8468   0.00512   0.00070  -0.1056   0.4116   1.0000  38.7821 160.0000
   3.500   0.8746   0.00521   0.00072  -0.1055   0.4040   1.0000  39.2606 160.0000
   3.750   0.9018   0.00534   0.00076  -0.1054   0.3921   1.0000  40.0155 160.0000
   4.000   0.9290   0.00548   0.00079  -0.1053   0.3799   1.0000  40.7967 160.0000
   4.250   0.9560   0.00563   0.00083  -0.1052   0.3657   1.0000  41.7111 160.0000
   4.500   0.9827   0.00581   0.00088  -0.1050   0.3503   1.0000  42.7114 160.0000
   4.750   1.0091   0.00601   0.00094  -0.1048   0.3336   1.0000  43.7955 160.0000
   5.000   1.0353   0.00624   0.00102  -0.1045   0.3156   1.0000  44.9691 160.0000
   5.250   1.0613   0.00646   0.00109  -0.1042   0.2978   1.0000  46.1419 160.0000
   5.500   1.0870   0.00672   0.00119  -0.1039   0.2777   1.0000  47.4623 160.0000
   5.750   1.1118   0.00704   0.00131  -0.1034   0.2544   1.0000  49.0094 160.0000
   6.000   1.1366   0.00735   0.00143  -0.1029   0.2318   1.0000  50.5256 160.0000
   6.250   1.1608   0.00772   0.00157  -0.1024   0.2073   1.0000  52.1842 160.0000
   6.500   1.1842   0.00813   0.00174  -0.1017   0.1803   1.0000  54.0431 160.0000
   6.750   1.2076   0.00854   0.00191  -0.1010   0.1564   1.0000  55.7256 160.0000
   7.000   1.2308   0.00895   0.00209  -0.1003   0.1331   1.0000  57.4137 160.0000
   7.250   1.2536   0.00939   0.00229  -0.0995   0.1113   1.0000  59.0578 160.0000
   7.500   1.2769   0.00977   0.00245  -0.0988   0.0953   1.0000  60.3323 160.0000
   7.750   1.2996   0.01019   0.00264  -0.0980   0.0796   1.0000  61.6666 160.0000
   8.000   1.3225   0.01056   0.00281  -0.0972   0.0677   1.0000  62.7748 160.0000
   8.250   1.3458   0.01091   0.00297  -0.0965   0.0591   1.0000  63.6680 160.0000
   8.500   1.3688   0.01125   0.00312  -0.0958   0.0515   1.0000  64.5329 160.0000
   8.750   1.3916   0.01159   0.00327  -0.0950   0.0452   1.0000  65.3377 160.0000
   9.000   1.4140   0.01194   0.00343  -0.0942   0.0399   1.0000  66.0785 160.0000
   9.250   1.4364   0.01228   0.00358  -0.0934   0.0361   1.0000  66.6720 160.0000
   9.500   1.4587   0.01260   0.00373  -0.0926   0.0328   1.0000  67.2352 160.0000
   9.750   1.4798   0.01299   0.00390  -0.0916   0.0292   1.0000  67.9001 160.0000
  10.000   1.5015   0.01330   0.00403  -0.0906   0.0272   1.0000  68.3002 160.0000
  10.250   1.5215   0.01369   0.00420  -0.0894   0.0248   1.0000  68.8225 160.0000
  10.500   1.5409   0.01402   0.00433  -0.0881   0.0233   1.0000  69.1613 160.0000
  10.750   1.5586   0.01439   0.00449  -0.0864   0.0219   1.0000  69.5150 160.0000
  11.000   1.5750   0.01483   0.00467  -0.0846   0.0200   1.0000  70.0008 160.0000
  11.250   1.5929   0.01520   0.00483  -0.0831   0.0193   1.0000  70.2003 160.0000
  11.500   1.6097   0.01565   0.00502  -0.0814   0.0182   1.0000  70.5210 160.0000
  11.750   1.6249   0.01618   0.00525  -0.0796   0.0168   1.0000  70.9256 160.0000
  12.000   1.6417   0.01664   0.00545  -0.0780   0.0162   1.0000  71.0985 160.0000
  12.250   1.6578   0.01714   0.00568  -0.0764   0.0156   1.0000  71.2944 160.0000
  12.500   1.6726   0.01773   0.00594  -0.0747   0.0149   1.0000  71.5375 160.0000
  12.750   1.6864   0.01839   0.00625  -0.0729   0.0140   1.0000  71.8484 160.0000
  13.000   1.7004   0.01905   0.00657  -0.0712   0.0134   1.0000  72.0394 160.0000
  13.250   1.7151   0.01969   0.00687  -0.0697   0.0131   1.0000  72.1524 160.0000
  13.500   1.7288   0.02041   0.00722  -0.0681   0.0127   1.0000  72.3154 160.0000
  13.750   1.7410   0.02124   0.00763  -0.0664   0.0122   1.0000  72.5093 160.0000
  14.000   1.7521   0.02218   0.00811  -0.0647   0.0115   1.0000  72.7466 160.0000
  14.250   1.7618   0.02324   0.00867  -0.0629   0.0109   1.0000  73.0020 160.0000
  14.500   1.7740   0.02416   0.00915  -0.0615   0.0108   1.0000  73.0584 160.0000
  14.750   1.7853   0.02517   0.00968  -0.0600   0.0106   1.0000  73.1410 160.0000
  15.000   1.7955   0.02630   0.01029  -0.0586   0.0103   1.0000  73.2475 160.0000
  15.250   1.8046   0.02754   0.01098  -0.0572   0.0101   1.0000  73.3664 160.0000
  15.500   1.8126   0.02890   0.01174  -0.0558   0.0098   1.0000  73.4933 160.0000
  15.750   1.8194   0.03041   0.01261  -0.0544   0.0095   1.0000  73.6336 160.0000
  16.000   1.8247   0.03210   0.01360  -0.0531   0.0091   1.0000  73.7992 160.0000
  16.250   1.8279   0.03401   0.01476  -0.0517   0.0087   1.0000  73.9733 160.0000
  16.500   1.8339   0.03576   0.01581  -0.0507   0.0086   1.0000  74.0252 160.0000
  16.750   1.8398   0.03757   0.01690  -0.0498   0.0085   1.0000  74.0658 160.0000
  17.000   1.8447   0.03952   0.01810  -0.0489   0.0084   1.0000  74.1169 160.0000
  17.250   1.8486   0.04163   0.01941  -0.0482   0.0083   1.0000  74.1765 160.0000
  17.500   1.8516   0.04389   0.02084  -0.0475   0.0081   1.0000  74.2444 160.0000
  17.750   1.8536   0.04632   0.02241  -0.0470   0.0080   1.0000  74.3213 160.0000
  18.000   1.8543   0.04892   0.02410  -0.0465   0.0078   1.0000  74.4020 160.0000
  18.250   1.8539   0.05171   0.02595  -0.0461   0.0077   1.0000  74.4852 160.0000
  18.500   1.8523   0.05470   0.02796  -0.0459   0.0075   1.0000  74.5722 160.0000
  18.750   1.8494   0.05790   0.03014  -0.0457   0.0073   1.0000  74.6661 160.0000
  19.000   1.8449   0.06132   0.03252  -0.0457   0.0071   1.0000  74.7672 160.0000
  19.250   1.8387   0.06503   0.03515  -0.0457   0.0069   1.0000  74.8675 160.0000
  19.500   1.8305   0.06905   0.03806  -0.0460   0.0068   1.0000  74.9615 160.0000
  19.750   1.8240   0.07293   0.04089  -0.0464   0.0067   1.0000  75.0079 160.0000
  20.000   1.8189   0.07662   0.04359  -0.0468   0.0066   1.0000  75.0242 160.0000
